Tree,Species,Plot
R1_1,R,1
R1_1,R,1
R1_1,R,1
R1_5,R,1
R1_5,R,1
R2_1,R,2
R2_1,R,2
R2_1,R,2
R2_1,R,2
R2_3,R,2
R2_3,R,2
R2_3,R,2
R2_3,R,2
R2_3,R,2
R3_1,R,3
R3_1,R,3
R3_1,R,3
R3_1,R,3
R3_1,R,3
R3_3,R,3
R3_3,R,3
R3_3,R,3
R3_3,R,3
R3_3,R,3
R4_1,R,4
R5_1,R,5
R5_1,R,5
R5_1,R,5
R5_1,R,5
R5_1,R,5
R5_4,R,5
R5_4,R,5
R5_6,R,5
R5_6,R,5
R5_6,R,5
R5_6,R,5
R5_6,R,5
R5_8,R,5
R5_8,R,5
R5_8,R,5
V1_2,V,1
V1_2,V,1
V1_2,V,1
V1_4,V,1
V1_6,V,1
V1_6,V,1
V1_6,V,1
V2_2,V,2
V2_4,V,2
V3_1,V,3
V3_1,V,3
V3_2,V,3
V3_2,V,3
V4_2,V,4
V4_2,V,4
V4_2,V,4
V4_2,V,4
V5_2,V,5
V5_2,V,5
V5_2,V,5
V5_5,V,5
V5_5,V,5
V5_7,V,5
V5_7,V,5
V5_7,V,5
V5_7,V,5
