Tree,soil_moisture,soil_C,soil_N,soil_CtoN,NH4,NO3-N,P,K,S,Ca,Mg,Mn,Cu,Zn,B,pH,EC,CEC
R1_3,1.79781882,0.763333333,0.075,9.037037037,6.625,1.773,12.94,118,681.667,225.883,58.562,8.11,1.267,0.472,0.125,5.833,0.043325,1.919122863
R1_5,1.79781882,0.763333333,0.075,9.037037037,6.625,1.773,12.94,118,681.667,225.883,58.562,8.11,1.267,0.472,0.125,5.833,0.043325,1.919122863
V1_2,1.79781882,0.763333333,0.075,9.037037037,6.625,1.773,12.94,118,681.667,225.883,58.562,8.11,1.267,0.472,0.125,5.833,0.043325,1.919122863
V1_4,1.79781882,0.763333333,0.075,9.037037037,6.625,1.773,12.94,118,681.667,225.883,58.562,8.11,1.267,0.472,0.125,5.833,0.043325,1.919122863
V1_6,1.79781882,0.763333333,0.075,9.037037037,6.625,1.773,12.94,118,681.667,225.883,58.562,8.11,1.267,0.472,0.125,5.833,0.043325,1.919122863
R2_1,67.15659479,2.51,0.18,11.31696429,14.342,0.24,17.353,140,1282.5,697.375,113.25,76.978,4.28,1.298,0.606,5.663,0.622,4.790375
R2_3,67.15659479,2.51,0.18,11.31696429,14.342,0.24,17.353,140,1282.5,697.375,113.25,76.978,4.28,1.298,0.606,5.663,0.622,4.790375
V2_2,67.15659479,2.51,0.18,11.31696429,14.342,0.24,17.353,140,1282.5,697.375,113.25,76.978,4.28,1.298,0.606,5.663,0.622,4.790375
V2_4,67.15659479,2.51,0.18,11.31696429,14.342,0.24,17.353,140,1282.5,697.375,113.25,76.978,4.28,1.298,0.606,5.663,0.622,4.790375
R3_1,109.7322845,1.185,0.0875,10.88888889,7.514,1.49,34.364,172,820,1204.448,152.32,10.924,14.426,2.015,1.769,5.318,0.12966,7.731918937
R3_3,109.7322845,1.185,0.0875,10.88888889,7.514,1.49,34.364,172,820,1204.448,152.32,10.924,14.426,2.015,1.769,5.318,0.12966,7.731918937
V3_2,109.7322845,1.185,0.0875,10.88888889,7.514,1.49,34.364,172,820,1204.448,152.32,10.924,14.426,2.015,1.769,5.318,0.12966,7.731918937
V3_4,109.7322845,1.185,0.0875,10.88888889,7.514,1.49,34.364,172,820,1204.448,152.32,10.924,14.426,2.015,1.769,5.318,0.12966,7.731918937
R4_1,3.169092233,0.53,0.065,8.19047619,0.836,0.84,31.557,85,435,287.581,96.112,8.42,4.836,1.057,0.068,5.765,0.016005,2.456979334
V4_2,3.169092233,0.53,0.065,8.19047619,0.836,0.84,31.557,85,435,287.581,96.112,8.42,4.836,1.057,0.068,5.765,0.016005,2.456979334
R5_1,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
R5_4,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
R5_6,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
R5_8,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
V5_2,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
V5_3,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
V5_5,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
V5_7,18.5,12.27771488,0.41625,0.06375,4.369,4.37,23.433,102,480,340.454,117.61,11.472,5.568,1.107,0.075,5.521,7.21125,0.980080652
