Tree,Species,Plot,Moisture,C,N,C:N,NH4-N,NO3-N,P,K,S,Ca,Mg,Mn,Cu,Zn,B,Ca,Mg,CEC,pH,BpH,EC
R1_3,R,1,3.293413174,0.27,0.04,6.75,6.951543409,1.815551568,9.25,92.66,650,195.3,50.33,6.68,1.05,0.27,0.314011976,0.9765,0.419416667,1.63350641,5.81,7.36,0.05865
R1_5,R,1,1.470588235,0.92,0.09,10.22222222,12.92008991,0.484913187,16,102.8,650,266.2,71.84,10.74,1.09,0.46,0.09550173,1.331,0.598666667,2.19325641,5.98,7.12,0.06013
R2_1,R,2,54.21686747,4.03,0.28,14.39285714,32.17590649,0.239218297,24.48,168.1,1520,1118,169.9,51.76,2.51,2,0.41946988,5.59,1.415833333,7.436858974,5,7,1.083
R2_3,R,2,49.9272198,0.3,0.05,6,0.713239976,NA,12.04,99.41,660,396.6,79.12,36.25,8.49,0.98,0.359825328,1.983,0.659333333,2.897230769,6.04,7.5,0.1834
R3_1,R,3,17.37089202,0.3,0.05,6,16.70941422,NA,20.42,89.97,730,188.5,59.91,1.97,1.95,0.34,0.070422535,0.9425,0.49925,1.672442308,4.94,7.34,0.04084
R3_3,R,3,358.7155963,3.28,0.18,18.22222222,1.749423086,NA,62.8440367,362.7522936,1270,3554.587156,333.4862385,17.1559633,29.95412844,5.504587156,6.422018349,17.77293578,2.779051988,21.48212185,5.81,7.19,0.3481
R4_1,R,4,2.145045965,0.52,0.06,8.666666667,9.880898642,0.836187394,24.23901941,75.68947906,460,269.4586313,97.7834525,9.213483146,5.005107252,1.13381001,0.065372829,1.347293156,0.814862104,2.356230848,5.8,7.14,0.01004
R5_1,R,5,10.55276382,0.28,0.05,5.6,1.203437221,NA,29.93768844,102.5929648,540,244.7638191,103.8090452,6.633165829,6.412060302,1.094472362,0.07959799,1.223819095,0.865075377,2.351953357,5.7,7.11,0.01263
R5_4,R,5,13.83285303,0.35,0.06,5.833333333,2.833469547,6.089645238,23.26743516,114.0605187,470,369.6152738,123.7363112,10.19942363,5.076945245,1.149711816,0.059193084,1.848076369,1.031135927,3.171675164,5.52,7.15,0.04064
R5_6,R,5,9.034267913,0.54,0.07,7.714285714,2.125458356,3.276286397,18.99376947,95.20872274,490,299.517134,105.6433022,10.97975078,4.65576324,0.774143302,0.087227414,1.49758567,0.880360852,2.622071451,4.64,7.28,0.03435
R5_8,R,5,5.970149254,1.09,0.11,9.909090909,2.154662422,5.427665705,24.40492537,75.85343284,470,346.3104478,114.1298507,25.72955224,4.599104478,1.388208955,0.139880597,1.731552239,0.95108209,2.87713031,5.25,7.01,0.04475
V1_2,V,1,1.675977654,0.3,0.04,7.5,1.607090272,0.996275416,16.07,158.8,720,205.1,55.4,7.67,2.02,0.76,0.052871508,1.0255,0.461666667,1.894346154,6.1,7.42,0.02279
V1_4,V,1,2.766798419,1.43,0.11,13,10.73365766,5.879635756,10.87,119.2,670,313.5,72.7,15.7,1.04,0.73,0.201422925,1.5675,0.605833333,2.478974359,6.22,7.26,0.06516
V1_6,V,1,0,0.23,0.04,5.75,4.289322504,0.235558711,15.85,106.6,580,210.5,58.31,5.5,1.88,0.43,0.010909091,1.0525,0.485916667,1.81175,4.97,7.41,0.02753
V2_2,V,2,48.6013986,0.63,0.07,9,11.03090212,NA,18.98,113.1,1030,622.7,109.6,16.2,3.56,0.91,0.238927739,3.1135,0.913333333,4.316833333,5.19,7.38,0.5548
V2_4,V,2,115.8808933,5.08,0.32,15.875,13.44864069,NA,13.91,180.6,1920,652.2,94.38,203.7,2.56,1.3,1.407543424,3.261,0.7865,4.510576923,6.42,7.09,0.6668
V3_2,V,3,17.74461028,0.53,0.06,8.833333333,3.410908236,NA,26.7986733,101.6489221,670,247.4991708,96.97446103,5.545771144,3.249751244,0.635820896,0.131873964,1.237495854,0.808120509,2.306254624,5.5,7.01,0.047
V3_4,V,3,45.09803922,0.63,0.06,10.5,8.187248663,1.486764384,27.3945098,132.5760784,610,827.2039216,118.9078431,19.02235294,22.54823529,1.581568627,0.452705882,4.136019608,0.990898693,5.466856963,5.02,7.44,0.0827
V4_2,V,4,4.193138501,0.54,0.07,7.714285714,2.610692088,NA,38.87445997,94.46149936,410,305.7026684,94.44066074,7.626937738,4.667852605,0.979415502,0.070851334,1.528513342,0.787005506,2.557727821,5.73,7.22,0.02197
V5_2,V,5,18.24324324,0.15,0.05,3,0.547537637,NA,27.81081081,123.9189189,520,374.9493243,128.7668919,10.97297297,7.721283784,1.359797297,0.052027027,1.874746622,1.073057432,3.265544872,5.44,7.38,0.01011
V5_3,V,5,13.83285303,0.35,0.06,5.833333333,2.833469547,6.089645238,23.26743516,114.0605187,470,369.6152738,123.7363112,10.19942363,5.076945245,1.149711816,0.059193084,1.848076369,1.031135927,3.171675164,5.52,7.15,0.04064
V5_5,V,5,7.458912769,0.2,0.05,4,0.614822911,0.532082489,16.20480405,92.97345133,450,316.1441214,116.1630847,7.436156764,5.104298357,0.83817952,0.042983565,1.580720607,0.968025706,2.787139778,6.22,7.43,0.01577
V5_7,V,5,15.94202899,0.33,0.06,5.5,0.655115655,NA,20.49855072,88.86956522,430,365.1014493,115.2695652,8.823188406,4.568115942,0.973913043,0.051014493,1.825507246,0.96057971,3.013957637,5.34,7.08,0.01137
